,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dmel,Python
28,dmel-demo,HTML
29,dnikit,Python
30,eidas,Go
31,embedding-atlas,TypeScript
32,example-package-dealer,Swift
33,example-package-deckofplayingcards,Swift
34,example-package-figlet,Swift
35,example-package-fisheryates,Swift
36,example-package-playingcard,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,live-caller-id-lookup-example,Swift
47,llvm-monorepo-root,
48,llvm-project-v5,C++
49,llvm-project-v5-split,C++
50,ml-4m,Python
51,ml-acn-embed,Python
52,ml-act,Python
53,ml-ademamix,Python
54,ml-afv,Python
55,ml-agm,Python
56,ml-aim,Python
57,ml-all-pairs,Python
58,ml-ane-transformers,Python
59,ml-aspanformer,Python
60,ml-aura,Python
61,ml-autofocusformer,Python
62,ml-autofocusformer-segmentation,Python
63,ml-batchquant,Python
64,ml-behavioral-testing-for-mt,
65,ml-bilevel-train-dist,Python
66,ml-bloop,Python
67,ml-calibration,Jupyter Notebook
68,ml-capsules-inverted-attention-routing,Python
69,ml-cifar-10-faster,Python
70,ml-code-switched-speech-translation,Python
71,ml-codeswitching-translations,
72,ml-collegial-ensembles,Python
73,ml-comotion,Python
74,ml-compress-and-compare,Python
75,ml-core,Python
76,ml-covid-mobility,R
77,ml-cread,Python
78,ml-cross-entropy,Python
79,ml-cubifyanything,Python
80,ml-cvnets,Python
81,ml-cvpr2019-swd,Python
82,ml-dab,Python
83,ml-data-parameters,Python
84,ml-dataset-decomposition,Python
85,ml-delphi,
86,ml-depth-pro,Python
87,ml-destseg,Python
88,ml-diffusion-alignment-gflownet,Python
89,ml-direct2.5,Python
90,ml-divide-or-conquer,Python
91,ml-dms-dataset,Python
92,ml-dprecs,Jupyter Notebook
93,ml-dr,Python
94,ml-duet,Python
95,ml-entity-deduction-arena,Python
96,ml-entropy-reconstruction,Python
97,ml-envmapnet,Python
98,ml-equivariant-neural-rendering,Jupyter Notebook
99,ml-facelit,Python
100,ml-famae,Python
101,ml-fastvit,Python
102,ml-fastvlm,Python
103,ml-fct,Python
104,ml-ferret,Python
105,ml-finerecon,Python
106,ml-flair,Jupyter Notebook
107,ml-flextok,Jupyter Notebook
108,ml-gaudi,
109,ml-gbc,Python
110,ml-gendered-translation,Ruby
111,ml-gmpi,Python
112,ml-gsm-symbolic,
113,ml-gsn,Python
114,ml-hd-gist,Python
115,ml-heart-rate-models,Python
116,ml-hierarchical-confusion-matrix,TypeScript
117,ml-hugs,Python
118,ml-hypercloning,Python
119,ml-hypersim,Python
120,ml-interactive-data-augmentation,Svelte
121,ml-internal-llms-instruction-following,Python
122,ml-interspeech2022-phi_rtn,
123,ml-jointnet,Python
124,ml-key-retrieval-code-tasks,Python
125,ml-keyframer,JavaScript
126,ml-kg-mt,Python
127,ml-kge,Python
128,ml-knowledge-conflicts,Python
129,ml-kpconvx,Python
130,ml-live-pose,
131,ml-llarp,Python
132,ml-lucid-datagen,Python
133,ml-mad-bench,Jupyter Notebook
134,ml-matrix3d,Python
135,ml-mcf,Python
136,ml-mdm,Python
137,ml-mgie,Python
138,ml-mia-bench,Jupyter Notebook
139,ml-MixupMP,Python
140,ml-mkqa,Python
141,ml-mobileclip,Python
142,ml-mobileone,Swift
143,ml-mofi,Python
144,ml-multiple-futures-prediction,Python
145,ml-mycelium,JavaScript
146,ml-ncg,Python
147,ml-negative-sampling,Python
148,ml-neilf,Python
149,ml-neilfpp,Python
150,ml-neuman,Python
151,ml-no-token-left-behind,Jupyter Notebook
152,ml-np-rasp,Python
153,ml-nvas3d,Python
154,ml-ogen,Python
155,ml-pgdvs,Python
156,ml-planner,Python
157,ml-pointconvformer,Python
158,ml-pointersect,Python
159,ml-probabilistic-attention,Python
160,ml-projunit,Python
161,ml-qrecc,Python
162,ml-quant,Python
163,ml-recurrent-drafter,Python
164,ml-reed,Python
165,ml-reversal-blessing,Python
166,ml-rlgrad,Python
167,ml-robust-expert-augmentations,Python
168,ml-rpm-bench,Python
169,ml-sad,Python
170,ml-sage-dialog-gen,Python
171,ml-sampleplan,Python
172,ml-selfcond,Python
173,ml-shuffling-amplification,Python
174,ml-sigma-reparam,Python
175,ml-sigmoid-attention,Python
176,ml-slowfast-llava,Python
177,ml-space-benchmark,Python
178,ml-spatial-librispeech,
179,ml-speech-is-more-than-words,
180,ml-spin,Python
181,ml-stable-diffusion,Python
182,ml-stabledreamer,
183,ml-stuttering-events-dataset,Python
184,ml-superposition-prompting,Python
185,ml-symphony,Svelte
186,ml-tarflow,Python
187,ml-tic-clip,Python
188,ml-tic-lm,Python
189,ml-toad,Python
190,ml-tract,Python
191,ml-transcript-translation-consistency-ratings,
192,ml-translate-vis,TypeScript
193,ml-tree-dst,Python
194,ml-tune-mode-convbn,Python
195,ml-tweak,Python
196,ml-ui-jepa,Python
197,ml-uncertainty-llms-instruction-following,Python
198,ml-upscale,Jupyter Notebook
199,ml-uwac,Python
200,ml-veclip,Jupyter Notebook
201,ml-vfi-smiff,Python
202,ml-vfm-kt,
203,ml-vision-transformers-ane,Python
204,ml-vivid,Python
205,music-feed-examples,Java
206,openjdk,Java
207,parameterized-transforms,Python
208,password-manager-resources,JavaScript
209,pfl-research,Jupyter Notebook
210,pkl,Java
211,pkl-evolution,
212,pkl-go,Go
213,pkl-go-examples,Go
214,pkl-intellij,Kotlin
215,pkl-jvm-examples,Groovy
216,pkl-k8s,Pkl
217,pkl-k8s-examples,Pkl
218,pkl-lang.org,JavaScript
219,pkl-lsp,Kotlin
220,pkl-neovim,Lua
221,pkl-package-docs,Kotlin
222,pkl-pantry,Pkl
223,pkl-project-commons,Pkl
224,pkl-spring,Java
225,pkl-swift,Swift
226,pkl-swift-examples,Swift
227,pkl-vscode,TypeScript
228,pkl.tmbundle,Pkl
229,pytorch-speech-features,Python
230,rules_pkl,Starlark
231,sample-backyard-birds,Swift
232,sample-cloudkit-coredatasync,Swift
233,sample-cloudkit-encryption,Swift
234,sample-cloudkit-privatedb,Swift
235,sample-cloudkit-privatedb-sync,Swift
236,sample-cloudkit-queries,Swift
237,sample-cloudkit-sharing,Swift
238,sample-cloudkit-sync-engine,Swift
239,sample-cloudkit-tooling,JavaScript
240,sample-cloudkit-zonesharing,Swift
241,sample-fbounds-safety-adoption,HTML
242,sample-food-truck,Swift
243,security-pcc,Swift
244,servicetalk,Java
245,swift-3-api-guidelines-review,Swift
246,swift-algorithms,Swift
247,swift-argument-parser,Swift
248,swift-asn1,Swift
249,swift-async-algorithms,Swift
250,swift-async-dns-resolver,Swift
251,swift-atomics,Swift
252,swift-cassandra-client,Swift
253,swift-certificates,Swift
254,swift-clang,C++
255,swift-clang-tools-extra,C++
256,swift-cluster-membership,Swift
257,swift-cmake-examples,CMake
258,swift-collections,Swift
259,swift-collections-benchmark,Swift
260,swift-compiler-rt,C
261,swift-container-plugin,Swift
262,swift-crypto,Assembly
263,swift-distributed-actors,Swift
264,swift-distributed-tracing,Swift
265,swift-distributed-tracing-baggage-core,Swift
266,swift-distributed-tracing-extras,Swift
267,swift-embedded-examples,Swift
268,swift-evolution-staging,Swift
269,swift-for-wasm-examples,Swift
270,swift-getting-started-cli,Swift
271,swift-getting-started-package-library,Swift
272,swift-homomorphic-encryption,Swift
273,swift-homomorphic-encryption-protobuf,
274,swift-http-structured-headers,Swift
275,swift-http-types,Swift
276,swift-internals,HTML
277,swift-issues,
278,swift-libcxx,C++
279,swift-llbuild2,Swift
280,swift-lldb,C++
281,swift-llvm,LLVM
282,swift-log,Swift
283,swift-matter-examples,Swift
284,swift-metrics,Swift
285,swift-metrics-extras,Swift
286,swift-migration-guide,Markdown
287,swift-mmio,Swift
288,swift-nio,Swift
289,swift-nio-examples,Swift
290,swift-nio-extras,Swift
291,swift-nio-http2,Swift
292,swift-nio-imap,Swift
293,swift-nio-nghttp2-support,Swift
294,swift-nio-oblivious-http,Swift
295,swift-nio-ssh,Swift
296,swift-nio-ssl,Assembly
297,swift-nio-ssl-support,Swift
298,swift-nio-transport-services,Swift
299,swift-nio-zlib-support,Swift
300,swift-ntp,Swift
301,swift-numerics,Swift
302,swift-openapi-generator,Swift
303,swift-openapi-runtime,Swift
304,swift-openapi-urlsession,Swift
305,swift-play-experimental,Swift
306,swift-playdate-examples,Swift
307,swift-protobuf,Swift
308,swift-protobuf-plugin,
309,swift-protobuf-test-conformance,
310,swift-sample-distributed-actors-transport,Swift
311,swift-service-context,Swift
312,swift-service-discovery,Swift
313,swift-standard-library-preview,Swift
314,swift-statsd-client,Swift
315,swift-string-processing-benchmarks,Swift
316,swift-system,Swift
317,swift-tools-support-async,Swift
318,swift-xcode-playground-support,Swift
319,swiftpm-on-llbuild2,Swift
320,tensor-visualizer,Svelte
321,tensorflow_macos,Shell
322,ToolSandbox,Python
323,tree-sitter-pkl,Kotlin
324,turicreate,C++
325,unityplugins,C#
326,VideoFlashingReduction,Mathematica
327,visatronic-demo,HTML
328,vqg-multimodal-assistant,Python
